"x"	"y"
"1"	-10	4.54428962715399e-05
"2"	-9	0.000123494509412094
"3"	-8	0.000335515708163101
"4"	-7	0.000910881601353426
"5"	-6	0.0024680517109325
"6"	-5	0.00665175615694354
"7"	-4	0.0176754921867368
"8"	-3	0.045291310974783
"9"	-2	0.106524361482325
"10"	-1	0.211954217888936
"11"	0	0.333333333333333
"12"	1	0.422311995027968
"13"	2	0.468304375365451
"14"	3	0.487851864802837
"15"	4	0.495460777464629
"16"	5	0.498320301543944
"17"	6	0.499380694354731
"18"	7	0.499771968034479
"19"	8	0.499916078837657
"20"	9	0.499969120652502
"21"	10	0.499988638501483
