"x"	"y"
"1"	1	5
"2"	2	8
"3"	3	11
"4"	4	14
"5"	5	17
"6"	6	20
"7"	7	23
"8"	8	26
"9"	9	29
"10"	10	32
"11"	11	35
"12"	12	38
"13"	13	41
"14"	14	44
"15"	15	47
"16"	16	50
"17"	17	53
"18"	18	56
"19"	19	59
"20"	20	62
"21"	21	65
"22"	22	68
"23"	23	71
"24"	24	74
"25"	25	77
"26"	26	80
"27"	27	83
"28"	28	86
"29"	29	89
"30"	30	92
"31"	31	95
"32"	32	98
"33"	33	101
"34"	34	104
"35"	35	107
"36"	36	110
"37"	37	113
"38"	38	116
"39"	39	119
"40"	40	122
"41"	41	125
"42"	42	128
"43"	43	131
"44"	44	134
"45"	45	137
"46"	46	140
"47"	47	143
"48"	48	146
"49"	49	149
"50"	50	152
"51"	51	155
"52"	52	158
"53"	53	161
"54"	54	164
"55"	55	167
"56"	56	170
"57"	57	173
"58"	58	176
"59"	59	179
"60"	60	182
"61"	61	185
"62"	62	188
"63"	63	191
"64"	64	194
"65"	65	197
"66"	66	200
"67"	67	203
"68"	68	206
"69"	69	209
"70"	70	212
"71"	71	215
"72"	72	218
"73"	73	221
"74"	74	224
"75"	75	227
"76"	76	230
"77"	77	233
"78"	78	236
"79"	79	239
"80"	80	242
"81"	81	245
"82"	82	248
"83"	83	251
"84"	84	254
"85"	85	257
"86"	86	260
"87"	87	263
"88"	88	266
"89"	89	269
"90"	90	272
"91"	91	275
"92"	92	278
"93"	93	281
"94"	94	284
"95"	95	287
"96"	96	290
"97"	97	293
"98"	98	296
"99"	99	299
"100"	100	302
